FIN_name;SWE_name;ENG_name;Sci_name
tiklilaji;Carduelis (släktet);Unidentified Carduelis species;Carduelis sp
ruostepääsky;rostgumpsvala;Red-rumped Swallow;Cecropis daurica
punakaulahanhi;rödhalsad gås;Red-breasted Goose;Branta ruficollis
ruostesorsa;rostand;Ruddy Shelduck;Tadorna ferruginea
punapäälepinkäinen;rödhuvad törnskata;Woodchat Shrike;Lanius senator
luhtakana;vattenrall;Water Rail;Rallus aquaticus
nunnatasku;nunnestenskvätta;Pied Wheatear;Oenanthe pleschanka
arosuohaukka;stäpphök;Pallid Harrier;Circus macrourus
kultasirkku;gyllensparv;Yellow-breasted Bunting;Emberiza aureola
pronssi-iibis;bronsibis;Glossy Ibis;Plegadis falcinellus
sitruunavästäräkki;citronärla;Citrine Wagtail;Motacilla citreola
rantakurvi;tereksnäppa;Terek Sandpiper;Xenus cinereus
punakottarainen;rosenstare;Rosy Starling;Pastor roseus
isovesipääsky;brednäbbad simsnäppa;Red Phalarope;Phalaropus fulicarius
pikkuruokki;alkekung;Little Auk;Alle alle
mustapäätasku;svarthakad buskskvätta;European Stonechat;Saxicola rubicola
etelänkiisla;sillgrissla;Common Murre;Uria aalge
siperianuunilintu;videsångare;Radde's Warbler;Phylloscopus schwarzi
lyhytvarvaskiuru;korttålärka;Greater Short-toed Lark;Calandrella brachydactyla
tunturipöllö;fjälluggla;Snowy Owl;Bubo scandiacus
merisirri;skärsnäppa;Purple Sandpiper;Calidris maritima
vuoriuunilintu;bergsångare;Western Bonelli's Warbler;Phylloscopus bonelli
fasaani;fasan;Common Pheasant;Phasianus colchicus
taigarautiainen;sibirisk järnsparv;Siberian Accentor;Prunella montanella
kiljuhanhi;fjällgås;Lesser White-fronted Goose;Anser erythropus
sepeltasku;vitgumpad buskskvätta;Siberian Stonechat;Saxicola maurus
amerikanjääkuikka;svartnäbbad islom;Great Northern Loon;Gavia immer
arokotka;stäppörn;Steppe Eagle;Aquila nipalensis
kashmirinuunilintu;bergtajgasångare;Hume's Leaf Warbler;Phylloscopus humei
vaaleakiitäjä;blek tornseglare;Pallid Swift;Apus pallidus
pilkkaniska;vitnackad svärta;Surf Scoter;Melanitta perspicillata
kääpiökerttu;ökensångare;Asian Desert Warbler ;Sylvia nana
jalohaikara;ägretthäger;Great Egret;Egretta alba
arohiirihaukka;örnvråk;Long-legged Buzzard;Buteo rufinus
pikkukultarinta;stäppsångare;Booted Warbler;Iduna caligata
rusorintakerttu;rödstrupig sångare;Subalpine Warbler;Sylvia cantillans
lampiviklo;dammsnäppa;Marsh Sandpiper;Tringa stagnatilis
harakkakäki;skatgök;Great Spotted Cuckoo;Clamator glandarius
tulipäähippiäinen;brandkronad kungsfågel;Common Firecrest;Regulus ignicapilla
isokihu;storlabb;Great Skua;Stercorarius skua
mustakaularastas;svarthalsad trast;Black-throated Thrush;Turdus atrogularis
kirjosieppolaji;Ficedula (släktet);Unidentified Flycatcher;Ficedula sp
kenttäkerttunen;fältsångare;Paddyfield Warbler;Acrocephalus agricola
mustakurkkurautiainen;svartstrupig järnsparv;Black-throated Accentor;Prunella atrogularis
taigakirvinen;sibirisk piplärka;Olive-backed Pipit;Anthus hodgsoni
kiljukotka / pikkukiljukotka / arokotka;större skrikörn / mindre skrikörn / stäppörn;Unidentified Spotted Eagle / Steppe Eagle;Aquila clanga / Aquila pomarina / Aquila pomarina
harmaasirkku;kornsparv;Corn Bunting;Emberiza calandra
amerikantukkasotka;ringand;Ring-necked Duck;Aythya collaris
kyhmypilkkasiipi;knölsvärta;White-winged Scoter;Melanitta deglandi
sirrilaji;Calidris (släktet);Unidentified Calidris sandpiper;Calidris sp
haarapääsky X räystäspääsky;ladusvala X hussvala;Barn Swallow x House Martin;Hirundo rustica X Delichon urbicum
isohaarahaukka;röd glada;Red Kite;Milvus milvus
