,kyhmyjoutsen,laulujoutsen,sinisorsa,tukkasotka,alli,telkkä,tukkakoskelo,isokoskelo,merimetso,harmaahaikara,merikotka,varpushaukka,hiirihaukka,muuttohaukka,kalalokki,harmaalokki,merilokki,käpytikka,tilhi,mustarastas,räkättirastas,sinitiainen,talitiainen,viherpeippo,vihervarpunen,urpiainen,tavi,lapasotka,piekana,punarinta,harakka,varis,punatulkku,kanadanhanhi,kanahaukka,korppi,vesilintu,nokikana,naurulokki,haahka,pikkutikka,isokäpylintu,uivelo,kesykyyhky,hippiäinen,hömötiainen,puukiipijä,kuikkalaji,pilkkasiipi,töyhtötiainen,naakka,tikli,sarvipöllö,lehtopöllö,joutsenlaji,punasotka,peippo,töyhtöhyyppä,uuttukyyhky,kiuru,mustavaris,kottarainen,merihanhi,sepelkyyhky,pulmunen,keltasirkku,kulorastas,kaakkuri,silkkiuikku,västäräkki,hanhilaji,ristisorsa,kurki,tylli,sarvipöllölaji,niittykirvinen,laulurastas,punakylkirastas,lapinsirkku,pajusirkku,kapustarinta,lehtokurppa,rautiainen,järripeippo,haapana,mustalintu,tuulihaukka,peukaloinen,viiksitimali,isolepinkäinen,punajalkaviklo,metsähanhi,tundrahanhi,harmaahanhilaji,valkoposkihanhi,kyhmyhaahka,meriharakka,riskilä,kangaskiuru,pikkukäpylintu,selkälokki,luotokirvinen,hemppo,tunturikiuru,jouhisorsa,iso päiväpetolintu,kuovi,pikkuvarpunen,pikkukäpylintu / isokäpylintu,hiirihaukkalaji,iso rastas,nokkavarpunen,harmaasorsa,kuikka,sääksi,metsäviklo,taivaanvuohi,lapasorsa,ruskosuohaukka,suopöllö,mustaleppälintu,ampuhaukka,rastaslaji (Turdus),tiltaltti,kuusitiainen,sinisuohaukka,kivitasku,pieni jalohaukka,kuovilaji,merikihu,räyskä,pikkujoutsen,härkälintu,pikkukuovi,kyyhkylaji (Columba),metsäkirvinen,varpunen,teeri,mustakurkku-uikku,punakuiri,kalatiira,kalatiira / lapintiira,uunilintulaji,pieni kahlaaja,ruokki,ruokki / kiislalaji,iso kahlaaja,lapintiira,pikkulintu,valkoviklo,pohjansirkku,tukkakoskelo / isokoskelo,nuolihaukka,pikkutylli,silkkiuikku / härkälintu,rantasipi,sorsalaji,tukkasotka / lapasotka,pikkulokki,turkinkyyhky,käenpiika,haarapääsky,pajulintu,avosetti,liro,hernekerttu,mustapääkerttu,kirjosieppo,korppi / varis / mustavaris,heinätavi,karikukko,leppälintu,sepelrastas,pikkukajava,jänkäkurppa,pääsky,keltavästäräkki,satakieli,pensastasku,sirittäjä,peltosirkku,suosirri,mustaviklo,räystäspääsky,pikkusieppo,pensaskerttu,suokukko,lapinsirri,keskikokoinen kahlaaja,leveäpyrstökihu,käki,tervapääsky,törmäpääsky,harmaasieppo,sinirinta,ruokokerttunen,pikkulepinkäinen,allihaahka,rytikerttunen,punavarpunen,pensassirkkalintu,mehiläishaukka,sitruunavästäräkki,lehtokerttu,idänuunilintu,pussitiainen,kultarinta,keltahemppo,palokärki,luhtakerttunen,sepelhanhi,mehiläishaukka / hiirihaukkalaji,rastaskerttunen,jalohaikara,tundrakurmitsa,kahlaaja,vesipääsky,isosirri,amerikanjääkuikka / jääkuikka,jänkäsirriäinen,viitakerttunen,kirjokerttu,punajalkahaukka,kehrääjä,kirjosiipikäpylintu,pieni vesilintu,riuttatiira,kuovisirri,harmaapäätikka,iso vesilintu,mustapyrstökuiri,pikkusirri,kurmitsalaji,heinäkurppa,luhtakana,pähkinähakki,haarahaukka,arosuohaukka / niittysuohaukka,lapinkirvinen,närhi,sinisuohaukka / arosuohaukka / niittysuohaukka,arokotka,arosuohaukka,pulmussirri,tunturikihu,pohjansirkku / pikkusirkku / kultasirkku,kihulaji,valkoselkätikka,taigauunilintu,pieni rastas,pähkinänakkeli,pohjantikka,pyrstötiainen,helmipöllö,maakotka,hippiäisuunilintu,pieni päiväpetolintu,tilhi / kottarainen,turturikyyhky,varpuspöllö,keskikokoinen tikka,koskikara,taviokuurna,taigakirvinen,vuorihemppo,lyhytvarvaskiuru,tundraurpiainen,fasaani,amerikanjääkuikka,mustatiira,jääkuikka,nummikirvinen,mehiläissyöjä,keräkurmitsa,sepelsieppo,kuhankeittäjä,kiljukotka,kiljukotka / pikkukiljukotka,pikkutiira,viitasirkkalintu,nokivaris,pikkukultarinta,virtavästäräkki,kiljukotka / pikkukiljukotka / arokotka,etelänkiisla,viitakerttunen / luhtakerttunen / rytikerttunen,vuoriuunilintu,jalohaukkalaji,lyhytnokkahanhi,tiaislaji,iso jalohaukka,huuhkaja,isokirvinen,peippolaji,isovesipääsky,ruskouunilintu,harmaasirkku,pikku-uikku,isolokki,lokkilaji,metso,kattohaikara,ruisrääkkä,amerikantukkasotka,kyhmypilkkasiipi,liejukana,kaulushaikara,hiiripöllö,mustakaularastas,pikkusirkku,selkälokki / harmaalokki / isolokki / merilokki,merisirri,harjalintu,mustapäätasku,luhtahuitti,lumihanhi,punakaulahanhi,lampiviklo,rantakurvi,sirrilaji,tunturihaukka,haarapääsky X räystäspääsky,punakottarainen,viirupöllö,mustalintulaji,rusorintakerttu,isohaarahaukka,lapintiainen,kuningaskalastaja,västäräkkilaji,tyllilaji,viitatiainen,taigarautiainen,lapinpöllö,kashmirinuunilintu,aroharmaalokki,kirvislaji,ruostesorsa,mustahaikara,varpushaukkalaji,sinipyrstö,iso pikkulintu,kääpiökerttu,punapäänarsku,vesilintu / kahlaaja,tulipäähippiäinen,varislaji,niittysuohaukka,palsasirri,keskikokoinen pikkulintu
2014-10-25,0,0,4,1,6,9,2,0,0,0,0,,,,169,8,0,,5,0,1,0,0,5,45,,0,,,0,,0,,,,0,,0,11,0,1,,,,0,,0,,1,,,,,,,,0,,,0,,10,,,,0,,1,0,0,,,,,,0,,,,0,,,,0,5,0,,0,,,,,,,,,,0,,,0,,0,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-26,0,0,4,0,12,6,2,0,0,,0,,,,402,28,0,0,,0,83,0,1,8,0,4,0,0,,0,,0,,,,0,,,4,0,0,,0,,0,1,0,,4,,,,,,,,11,,,1,,30,,,,,,2,,,,,,,,1,1,,,,,,,0,1,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-27,0,0,0,1,420,0,16,0,0,0,0,3,,,130,7,0,0,4,0,47,0,0,70,,3,2,,2,0,,0,,,,0,,,4,0,,,,,0,,0,1,3,,,,,,,,1,,,0,,14,,,,0,0,2,,,,,,,,0,0,0,,,,0,,3,1,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-28,0,7,3,0,17,6,5,0,2,0,0,3,,,184,3,0,0,,0,0,0,0,153,217,17,4,1,1,0,,0,,,,0,,,20,3,,,,,15,,0,,5,0,,13,,,,,0,,,0,,,,,0,16,0,0,0,0,,,,,,0,,,,,,,,0,0,4,,0,,0,,,,,,,,1,,3,,,0,,,,,,,,,,,,,,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,0,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-29,0,0,0,1,2,0,0,0,0,,0,28,,,603,9,0,,,0,37,50,42,1106,620,8,,0,,0,,0,4,,,0,,,5,1,,2,,,0,2,1,,1,,,48,,,,,83,,,,,15,,0,0,26,2,,,0,,,,,,23,,6,,3,,,,23,0,,,0,,,,,,,,,,0,,15,,,57,,,,,10,,,,,,,,,,,,,,2,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-30,0,6,0,,0,0,0,0,51,0,0,7,,,9,0,0,,,15,2,596,403,139,581,12,,,2,0,,3,99,,,0,,,7,0,2,2,,0,4,8,0,,,0,177,19,,0,,,315,,18,1,,286,,184,,27,9,,2,,,,,,,12,1,0,,0,,0,,462,4,,,0,,,,,,,,,,0,7,33,,,5,,,,,95,8,1,7,1,,,,,1,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,0,4,0,,17,4,0,12,18,0,0,16,3,,176,1,0,2,,1,76,236,264,47,884,47,,,,0,,20,238,,1,0,,,4,0,5,1,,,0,,0,1,5,0,331,25,0,0,,,206,,9,,,156,,43,2,12,6,,,1,,,,,,9,1,11,,1,,0,,333,4,,,0,,,,,,,,,,,6,18,,,4,,,,,70,,,35,,,1,,,,,,,,1,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01,0,0,0,,0,0,5,0,,,,,,,0,0,0,0,3,,,0,0,0,,,,0,,,,0,,,0,0,,,,0,0,,,,0,,0,,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-02,0,0,0,,,0,,0,,,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-03,4,1,0,,0,8,21,6,2,,0,,,,0,0,0,,,0,,5,0,4,3,,,,,,2,0,0,,,0,,,,329,,,,2,0,,,,,,23,,,,,,,5,7,5,,,3,4,,12,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-04,0,,2,9,0,0,25,6,10,,0,,,,0,0,0,,,0,482,4,0,5,2,1,18,,4,0,,0,,,,0,,,15,2099,,,,,0,,0,,21,,,,,,,,177,,,,,24,1,4,,9,,,,4,,0,1,,,0,0,10,,2,,,0,1,0,7,,0,,,,,,,11,,3,,,,,1,,,2,,4,,,,,,,,,0,2,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-05,0,,0,1,0,57,8,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,20,2,0,,,0,,0,,,,0,,,13,21,,,,,0,,0,,13,,5,,,,,,60,,,4,,7,0,,,3,1,2,,0,,0,,1,,0,1,0,,1,3,0,0,,0,1,,,,,1,,,,10,,0,,1,,,,,,,,,,,,,,0,1,,1,,0,,,,,,0,,,2,,,3,,,,,,20,,,0,0,0,0,,,,,,0,,3,,,1,,,0,,,,,0,1,0,,0,0,0,0,,,2,0,,,,,1,0,0,0,,0,1,3,,0,,,,,0,,1,0,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-06,0,0,12,5,,15,2,5,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,,,,,,0,,,,0,,,13,92,,0,,,,,,,24,,,,,,,,2,,,0,,0,0,2,,,,3,,0,,0,,0,,0,,0,,,,,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,0,0,,,,,0,,,,0,0,0,,,,,,0,,3,,,0,,,0,,,,,0,0,0,,,0,0,0,,,,,,,,,,0,,0,,,1,0,,0,,,,,,0,,0,,,,,0,0,,,,0,0,,0,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,0,,1,10,,11,3,0,3,17,0,,,,3,0,0,,,0,0,0,0,4,6,0,,,,0,,0,,,,,,,17,79,,,,0,,,0,1,,,,,,,,,339,6,,0,,128,,1,,,,2,,0,,,,0,,0,0,0,,,,,,,,52,1,,,,,,,,0,,0,0,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,0,1,,,2,,9,,,,,0,0,,,58,29,,0,,0,,,0,,,,,,,,0,0,0,,2,0,,,,,,,,,,,,0,,,,,,0,,0,0,,,,0,0,,0,,,0,,,9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-08,0,,0,32,,6,0,0,111,4,0,4,,,0,0,4,,,,1,0,0,0,,0,0,,,0,,0,,,,0,,,21,0,,,,,,,0,1,6,,,,,,,,8,0,,,,17,,,,0,,,,6,,,,19,,0,0,,,,4,,,,,,0,,,,0,,,,,,0,,,,5,,,,,,2,2,2,,,,,3,,2,4,0,1,,,,,,,,0,,,14,2,,,,,102,,,,0,18,25,,10,,,,,,21,,,0,0,,,,,,,,19,0,,10,0,,1,,,,,,,,,170,0,,0,,36,1,10,,0,1,0,,,,0,31,1,,,0,,,1,,,,0,,,,,0,0,,,,,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-09,0,,0,2,,3,0,0,179,19,0,61,,,0,0,0,2,,0,,0,0,0,423,,0,,,0,,0,,,0,0,,,0,0,1,,,,0,0,0,,,6,,,,,,,198,,,0,,,,0,,,,,,64,,,1,0,,4,0,,1,,,,12,5,0,,3,0,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,23,,,,,,,,,,,,,,1,,,2,,,,,,,,,3,0,,,0,0,,,,,0,,,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,2,,,,,,,14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-10,0,6,0,0,7,0,0,0,0,0,0,125,9,,32,0,0,0,,0,1,2311,3953,863,512,3,,,2,0,1,0,,,1,0,,,12,0,5,1,,,75,25,0,,8,0,69,31,,,,,855,,50,0,,20,,264,,9,0,,0,0,,,,0,,17,0,5,,3,,,2,1602,4,,,0,,,,,,,,,,,4,,,,15,,0,1,,15,,,,1,,2,,,,,,,,8,,0,2663,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,52,,,,,,,1,,,,13,,794,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-11,0,,0,,,0,,0,,,0,,,,0,0,0,0,,0,0,13,0,,0,0,,0,,0,,0,0,,,0,,,0,,,,,,0,,0,,,,,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,0,0,0,0,0,0,1,0,0,,0,,,,0,0,0,,,0,200,0,0,2,,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,0,0,0,,0,0,1,5,0,0,0,4,1,0,0,0,0,0,2,0,8,43,3,3,72,10,0,6,,0,,0,14,,,0,,,2,4,0,,,0,0,0,0,,44,0,0,,,,,,47,,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-14,0,0,11,1,0,0,,0,,0,0,,,0,0,0,0,0,,0,5,0,0,0,9,,,,,0,,0,0,30,0,0,,,0,,,,,0,0,0,0,,,,,,,0,,,3,0,1,,,6,,,,,6,,,,,,,,,0,0,,,,,,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-15,0,0,7,1,0,9,0,0,3,0,0,1,,0,0,0,0,0,,0,112,7,0,7,100,,,2,,,,0,6,,,0,,,1,,0,,,,0,,0,,3,0,,2,,,,,4,,,0,,6,,,1,3,5,2,,,,,,,,,0,,,,,0,0,,0,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-16,0,0,0,,0,18,,2,4,,0,,,0,0,6,0,0,,0,9,44,0,46,69,1,,0,,0,,0,14,,,0,,,0,0,1,,,,0,,0,,,,,4,,,,,43,,,,,15,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,0,0,0,,0,0,,0,,,0,,,0,0,0,0,0,,0,200,0,0,0,0,0,,0,,0,,0,,,,0,,,,,,,,,0,,0,,,,,,0,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-18,0,0,0,,0,0,,0,,,0,,,0,0,0,0,,,,,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-19,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,,,,1,0,0,0,0,,,0,,,,0,,,,0,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-20,0,0,0,,0,7,,0,,,0,,,0,0,0,0,,,,20,6,0,33,4,,,0,,,,0,2,,,0,,,1,,,3,,,0,,0,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
